 Hex signature 	ISO 8859-1 	Offset 	File extension 	Description
4E 45 53 1A 	NES 	0 	nes 	Nintendo Entertainment System ROM file [28]
4F 67 67 53 	OggS 	0 	ogg, oga, ogv 	Ogg, an open source media container format
00 00 00 00 00 00 00 00

00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00
	........

........
........
	11 	PDB 	PalmPilot Database/Document File
25 50 44 46 	 %PDF 	0 	pdf 	PDF document
00 	. 	0 	PIC

PIF
SEA
YTR
	IBM Storyboard bitmap file

Windows Program Information File
Mac Stuffit Self-Extracting Archive
IRIS OCR data file
89 50 4E 47 0D 0A 1A 0A 	.PNG.... 	0 	png 	Image encoded in the Portable Network Graphics format[8]
25 21 50 53 	 %!PS 	0 	ps 	PostScript document
38 42 50 53 	8BPS 	0 	psd 	Photoshop Document file, Adobe Photoshop's native file format
52 61 72 21 1A 07 00 	Rar!... 	0 	rar 	RAR archive version 1.50 onwards[6]
52 61 72 21 1A 07 01 00 	Rar!.... 	0 	rar 	RAR archive version 5.0 onwards[7]
46 4F 52 4D nn nn nn nn 53 4D 55 53 	FORM....SMUS 	0, any 	smus, smu, mus, iff 	IFF Simple Musical Score
75 73 74 61 72 00 30 30
or
75 73 74 61 72 20 20 00 	ustar.00
or
ustar . 	257 	tar 	tar archive[29]
00 01 44 54 	... 	0 	TDA 	Palm Desktop Calendar Archive
49 49 2A 00 (little endian format) or
4D 4D 00 2A (big endian format) 	II*. or
MM.* 	0 	tif, tiff 	Tagged Image File Format
45 52 02 00 00 00
or
8B 45 52 02 00 00 00 	ER....
or
ãER.... 	0 	toast 	Roxio Toast disc image file, also some .dmg-files begin with same bytes
74 6F 78 33 	TOX 	0 	tox 	Open source portable voxel file [30]
4B 44 4D 	KDM 	0 	vmdk 	VMDK files [17][18]
52 49 46 46 nn nn nn nn 57 41 56 45 	RIFF....WAVE 	0 	wav 	Waveform Audio File Format
78 61 72 21 	xar! 	0 	xar 	eXtensible ARchive format[24]
46 4F 52 4D nn nn nn nn 59 55 56 4E 	FORM....YUVN 	0, any 	yuvn, yuv, iff 	IFF YUV Image
1F 9D 	.. 	0 	z, tar.z 	compressed file (often tar zip)

using Lempel-Ziv-Welch algorithm
1F A0 	.. 	0 	z, tar.z 	Compressed file (often tar zip)

using LZH algorithm
50 4B 03 04, 50 4B 05 06 (empty archive) or 50 4B 07 08 (spanned archive) 	PK.. 	0 	zip, jar, odt, ods, odp, docx, xlsx, pptx, apk 	zip file format and formats based on it, such as JAR, ODF, OOXML
