264	H.264/MPEG-4 AVC video file
vbs	Visual Basic script file
vxd	Microsoft Windows virtual device driver
wmf	Windows metafile format
001	Compressed file from a multi-volume archive (part 1)
002	Compressed file from a multi-volume archive (part 2)
003	Compressed file from a multi-volume archive (part 3)
004	Compressed file from a multi-volume archive (part 4)
005	Compressed file from a multi-volume archive (part 5)
006	Compressed file from a multi-volume archive (part 6)
007	Compressed file from a multi-volume archive (part 7)
008	Compressed file from a multi-volume archive (part 8)
009	Compressed file from a multi-volume archive (part 9)
010	Compressed file from a multi-volume archive (part 10)
7z	7-ZIP compressed 7z archive file
7z.001	Split Multi-volume 7-ZIP compressed file archive (part 1)
7z.002	Split Multi-volume 7-ZIP compressed file archive (part 2)
7z.003	Split Multi-volume 7-ZIP compressed file archive (part 3)
7zip	7-Zip 7z compressed archive file
a00	Split Multi-volume ARJ compressed file archive (part 2)
a01	Split Multi-volume ARJ compressed file archive (part 3)
a02	Split Multi-volume ARJ compressed file archive (part 4)
a03	Split Multi-volume ARJ compressed file archive (part 5)
a04	Split Multi-volume ARJ compressed file archive (part 6)
a05	Split Multi-volume ARJ compressed file archive (part 7)
ace	WinACE Compressed ace archive file
air	Adobe AIR rich Internet applications
apk	Google Android application package
arc	ARC lossless data compression and archive format
arj	ARJ Compressed archive file
asec	Google Android encrypted application package file
bar	BlackBerry OS 10 application installation package
bin	Macbinary II encoded file
c00	Split Multi-volume ACE compressed file archive
c01	Split Multi-volume ACE compressed file archive
c02	Split Multi-volume ACE compressed file archive
c03	Split Multi-volume ACE compressed file archive
cab	Windows Cabinet Compressed Archive
cbr	Comic Book Archive file or ComicBook Reader file
cbz	Comic Book Archive file or ComicBook Reader file
cso	CISO compressed ISO file
deb	Debian Linux package file
dlc	JDownloader download link container
gz	GZIP compressed archive file
gzip	GNU ZIP gzip compressed archive file
hqx	Macintosh BinHex archive
inv	Microsoft Windows Update file
ipa	Apple iOS application file
isz	UltraISO compressed disk image file
jar	Compressed archive file package for Java classes and data file
msu	Microsoft Update Standalone Package file
nbh	HTC ROM update utility ROM image file
pak	Game resource package file
part1.exe	Split Multi-volume RAR compressed self-extracting  file archive (part 1)
part1.rar	Split Multi-volume RAR compressed file archive (part 1)
part2.rar	Split Multi-volume RAR compressed file archive (part 2)
r00	Split Multi-volume RAR compressed file archive (part 2)
r01	Split Multi-volume RAR compressed file archive (part 3)
r02	Split Multi-volume RAR compressed file archive (part 4)
r03	Split Multi-volume RAR compressed file archive (part 5)
r04	Split Multi-volume RAR compressed file archive (part 6)
r05	Split Multi-volume RAR compressed file archive (part 7)
r06	Split Multi-volume RAR compressed file archive (part 8)
r07	Split Multi-volume RAR compressed file archive (part 9)
r08	Split Multi-volume RAR compressed file archive (part 10)
r09	Split Multi-volume RAR compressed file archive (part 11)
r10	Split Multi-volume RAR compressed file archive (part 12)
rar	WinRAR RAR compressed archive
rpm	Linux package manager file
sis	Symbian installation file
sisx	Symbian OS program installation executable file
sit	StuffIt Expander archive format file
sitd	StuffIT archive file
sitx	StuffIt archive file
tar	Unix standard Archive format, Tape Archive
tar.gz	Old version Gzip compressed TAR Archive
tgz	Gzip compressed TAR archive
uax	Unreal audio package file
webarchive	Apple Safari web archive file
xap	Microsoft Windows Phone and Microsoft Silverlight application package file
z01	Split Multi-volume ZIP compressed file archive (part 2)
z02	Split Multi-volume ZIP compressed file archive (part 3)
z03	Split Multi-volume ZIP compressed file archive  (part 4)
z04	Split Multi-volume ZIP compressed file archive (part 5)
z05	Split Multi-volume ZIP compressed file archive  (part 6)
zip	WinZIP Compressed ZIP archive file
bak	Generally a backup created by various software applications
bbb	BlackBerry backup (post 2012) file
bkf	Microsoft backup file
bkp	Backup file
dbk	Sony Ericsson mobile phone backup file
gho	Norton Ghost backup image file
ipd	BlackBerry backup (pre 2012)
iso	CD/DVD/HD DVD/Blu-ray disc ISO binary image file
json	Mozilla Firefox bookmark backup file
mdbackup	Apple iPhone backup file
nba	Nero BackItUp archive file
nbf	Backup NOW! backup archive
nbu	Nokia PC Suite 6.82+ backup file
nco	Nero BackItUp compressed backup file
nrg	Nero-Burning ROM CD or DVD image file
old	Backup file
rar	WinRAR RAR compressed archive
rom	Read Only Memory image (emulators/AONs)
sbf	Google Android mobile phone backup file
sbu	Samsung Kies backup file
spb	Samsung Kies phone contacts library
tib	Acronis True Image backup disk image file
wbcat	Microsoft Windows backup information file
zip	WinZIP Compressed ZIP archive file
000	IsoBuster CD/DVD image file data recovery
bin	CD/DVD binary image file
ccd	CloneCD disk image
cue	Cue sheet description
daa	PowerISO Direct-Access-Archive file
dao	Disk at Once CD/DVD image file
dmg	Apple Mac OS X disk image
img	CloneCD image file
img	Floppy Image image file
iso	CD/DVD/HD DVD/Blu-ray disc ISO binary image file
isz	UltraISO compressed disk image file
mdf	Alcohol 120% disc image file format
mds	Alcohol 120% Image file (media descriptor file) format
mdx	Media Data eXtended image file
nrg	Nero-Burning ROM CD or DVD image file
tao	TAO Track at Once CD/DVD image file
tc	TrueCrypt disk volume file
toast	Roxio Toast disk image file
uif	MagicISO Universal Image Format
vcd	Virtual CD-ROM CD image file
